,playerID,birthYear,birthMonth,birthDay,birthCity,birthCountry,birthState,deathYear,deathMonth,deathDay,deathCountry,deathState,deathCity,nameFirst,nameLast,nameGiven,weight,height,bats,throws,debut,finalGame
1,aaronha01,1934.0,2.0,5.0,Mobile,USA,AL,2021.0,1.0,22.0,USA,GA,Atlanta,Hank,Aaron,Henry Louis,180.0,72.0,R,R,1954-04-13,1976-10-03
202,alexape01,1887.0,2.0,26.0,Elba,USA,NE,1950.0,11.0,4.0,USA,NE,St. Paul,Pete,Alexander,Grover Cleveland,185.0,73.0,R,R,1911-04-15,1930-05-28
281,alomaro01,1968.0,2.0,5.0,Ponce,P.R.,,,,,,,,Roberto,Alomar,Roberto,184.0,72.0,B,R,1988-04-22,2004-09-05
294,alstowa01,1911.0,12.0,1.0,Venice,USA,OH,1984.0,10.0,1.0,USA,OH,Oxford,Walter,Alston,Walter Emmons,195.0,74.0,R,R,1936-09-27,1936-09-27
399,andersp01,1934.0,2.0,22.0,Bridgewater,USA,SD,2010.0,11.0,4.0,USA,CA,Thousand Oaks,Sparky,Anderson,George Lee,170.0,69.0,R,R,1959-04-10,1959-09-27
441,ansonca01,1852.0,4.0,17.0,Marshalltown,USA,IA,1922.0,4.0,14.0,USA,IL,Chicago,Cap,Anson,Adrian Constantine,227.0,72.0,R,R,1871-05-06,1897-10-03
451,aparilu01,1934.0,4.0,29.0,Maracaibo,Venezuela,Zulia,,,,,,,Luis,Aparicio,Luis Ernesto,160.0,69.0,R,R,1956-04-17,1973-09-28
460,applilu01,1907.0,4.0,2.0,High Point,USA,NC,1991.0,1.0,3.0,USA,GA,Cumming,Luke,Appling,Lucius Benjamin,183.0,70.0,R,R,1930-09-10,1950-10-01
548,ashburi01,1927.0,3.0,19.0,Tilden,USA,NE,1997.0,9.0,9.0,USA,NY,New York,Richie,Ashburn,Don Richard,170.0,70.0,L,R,1948-04-20,1962-09-30
615,averiea01,1902.0,5.0,21.0,Snohomish,USA,WA,1983.0,8.0,16.0,USA,WA,Everett,Earl,Averill,Howard Earl,172.0,69.0,L,R,1929-04-16,1941-04-25
678,bagweje01,1968.0,5.0,27.0,Boston,USA,MA,,,,,,,Jeff,Bagwell,Jeffrey Robert,195.0,72.0,R,R,1991-04-08,2005-10-02
704,baineha01,1959.0,3.0,15.0,Easton,USA,MD,,,,,,,Harold,Baines,Harold Douglas,175.0,74.0,L,L,1980-04-10,2001-09-27
726,bakerfr01,1886.0,3.0,13.0,Trappe,USA,MD,1963.0,6.0,28.0,USA,MD,Trappe,Home Run,Baker,John Franklin,173.0,71.0,L,R,1908-09-21,1922-09-29
787,bancrda01,1891.0,4.0,20.0,Sioux City,USA,IA,1972.0,10.0,9.0,USA,WI,Superior,Dave,Bancroft,David James,160.0,69.0,B,R,1915-04-14,1930-05-31
800,bankser01,1931.0,1.0,31.0,Dallas,USA,TX,2015.0,1.0,23.0,USA,IL,Chicago,Ernie,Banks,Ernest,180.0,73.0,R,R,1953-09-17,1971-09-26
861,barlial99,1915.0,4.0,2.0,Springfield,USA,IL,1995.0,12.0,27.0,USA,IL,Springfield,Al,Barlick,Albert Joseph,185.0,71.0,,,,
944,barroed99,1868.0,5.0,10.0,Springfield,USA,IL,1953.0,12.0,15.0,USA,NY,Port Chester,Ed,Barrow,Edward Grant,,,,,,
1142,becklja01,1867.0,8.0,4.0,Hannibal,USA,MO,1918.0,6.0,25.0,USA,MO,Kansas City,Jake,Beckley,Jacob Peter,200.0,70.0,L,L,1888-06-20,1907-06-15
1205,bellco99,1903.0,5.0,17.0,Starkville,USA,MS,1991.0,3.0,7.0,USA,MO,St. Louis,Cool Papa,Bell,James Thomas,155.0,72.0,B,L,,
1244,beltrad01,1979.0,4.0,7.0,Santo Domingo,D.R.,Distrito Nacional,,,,,,,Adrian,Beltre,Adrian,220.0,71.0,R,R,1998-06-24,2018-09-30
1255,benchjo01,1947.0,12.0,7.0,Oklahoma City,USA,OK,,,,,,,Johnny,Bench,Johnny Lee,197.0,73.0,R,R,1967-08-28,1983-09-29
1257,bendech01,1884.0,5.0,5.0,Crow Wing County,USA,MN,1954.0,5.0,22.0,USA,PA,Philadelphia,Charles,Bender,Charles Albert,185.0,74.0,R,R,1903-04-20,1925-07-21
1360,berrayo01,1925.0,5.0,12.0,St. Louis,USA,MO,2015.0,9.0,22.0,USA,NJ,West Caldwell,Yogi,Berra,Lawrence Peter,185.0,67.0,L,R,1946-09-22,1965-05-09
1450,biggicr01,1965.0,12.0,14.0,Smithtown,USA,NY,,,,,,,Craig,Biggio,Craig Alan,185.0,71.0,R,R,1988-06-26,2007-09-30
