,lgID,teamID,franchID,name
0,,BS1,BNA,Boston Red Stockings
1,,CH1,CNA,Chicago White Stockings
2,,CL1,CFC,Cleveland Forest Citys
3,,FW1,KEK,Fort Wayne Kekiongas
4,,NY2,NNA,New York Mutuals
5,,PH1,PNA,Philadelphia Athletics
6,,RC1,ROK,Rockford Forest Citys
7,,TRO,TRO,Troy Haymakers
8,,WS3,OLY,Washington Olympics
9,,BL1,BLC,Baltimore Canaries
10,,BR1,ECK,Brooklyn Eckfords
11,,BR2,BRA,Brooklyn Atlantics
12,,BS1,BNA,Boston Red Stockings
13,,CL1,CFC,Cleveland Forest Citys
14,,MID,MAN,Middletown Mansfields
15,,NY2,NNA,New York Mutuals
16,,PH1,PNA,Philadelphia Athletics
17,,TRO,TRO,Troy Haymakers
18,,WS3,OLY,Washington Olympics
19,,WS4,NAT,Washington Nationals
20,,BL1,BLC,Baltimore Canaries
21,,BL4,MAR,Baltimore Marylands
22,,BR2,BRA,Brooklyn Atlantics
23,,BS1,BNA,Boston Red Stockings
24,,ELI,RES,Elizabeth Resolutes
25,,NY2,NNA,New York Mutuals
26,,PH1,PNA,Philadelphia Athletics
27,,PH2,PWS,Philadelphia Whites
28,,WS5,WBL,Washington Blue Legs
29,,BL1,BLC,Baltimore Canaries
30,,BR2,BRA,Brooklyn Atlantics
31,,BS1,BNA,Boston Red Stockings
32,,CH2,CNA,Chicago White Stockings
33,,HR1,HNA,Hartford Dark Blues
34,,NY2,NNA,New York Mutuals
35,,PH1,PNA,Philadelphia Athletics
36,,PH2,PWS,Philadelphia Whites
37,,BR2,BRA,Brooklyn Atlantics
38,,BS1,BNA,Boston Red Stockings
39,,CH2,CNA,Chicago White Stockings
40,,HR1,HNA,Hartford Dark Blues
41,,KEO,WES,Keokuk Westerns
42,,NH1,NHV,New Haven Elm Citys
43,,NY2,NNA,New York Mutuals
44,,PH1,PNA,Philadelphia Athletics
45,,PH2,PWS,Philadelphia Whites
46,,PH3,CEN,Philadelphia Centennials
47,,SL1,SLR,St. Louis Red Stockings
48,,SL2,SNA,St. Louis Brown Stockings
49,,WS6,WNT,Washington Nationals
50,NL,BSN,ATL,Boston Red Caps
51,NL,CHN,CHC,Chicago White Stockings
52,NL,CN1,CNR,Cincinnati Reds
53,NL,HAR,HAR,Hartford Dark Blues
54,NL,LS1,LGR,Louisville Grays
55,NL,NY3,NYU,New York Mutuals
56,NL,PHN,ATH,Philadelphia Athletics
57,NL,SL3,SBS,St. Louis Brown Stockings
58,NL,BSN,ATL,Boston Red Caps
59,NL,CHN,CHC,Chicago White Stockings
60,NL,CN1,CNR,Cincinnati Reds
61,NL,HAR,HAR,Hartford Dark Blues
62,NL,LS1,LGR,Louisville Grays
63,NL,SL3,SBS,St. Louis Brown Stockings
64,NL,BSN,ATL,Boston Red Caps
65,NL,CHN,CHC,Chicago White Stockings
66,NL,CN1,CNR,Cincinnati Reds
67,NL,IN1,IBL,Indianapolis Blues
68,NL,ML2,MLG,Milwaukee Grays
69,NL,PRO,PRO,Providence Grays
70,NL,BFN,BUF,Buffalo Bisons
71,NL,BSN,ATL,Boston Red Caps
72,NL,CHN,CHC,Chicago White Stockings
73,NL,CL2,CBL,Cleveland Blues
74,NL,CN1,CNR,Cincinnati Reds
75,NL,PRO,PRO,Providence Grays
76,NL,SR1,SYR,Syracuse Stars
77,NL,TRN,TRT,Troy Trojans
78,NL,BFN,BUF,Buffalo Bisons
79,NL,BSN,ATL,Boston Red Caps
80,NL,CHN,CHC,Chicago White Stockings
81,NL,CL2,CBL,Cleveland Blues
82,NL,CN1,CNR,Cincinnati Reds
83,NL,PRO,PRO,Providence Grays
84,NL,TRN,TRT,Troy Trojans
85,NL,WOR,WOR,Worcester Ruby Legs
86,NL,BFN,BUF,Buffalo Bisons
87,NL,BSN,ATL,Boston Red Caps
88,NL,CHN,CHC,Chicago White Stockings
89,NL,CL2,CBL,Cleveland Blues
90,NL,DTN,DTN,Detroit Wolverines
91,NL,PRO,PRO,Providence Grays
92,NL,TRN,TRT,Troy Trojans
93,NL,WOR,WOR,Worcester Ruby Legs
94,AA,BL2,BLO,Baltimore Orioles
95,AA,CN2,CIN,Cincinnati Red Stockings
96,AA,LS2,LOU,Louisville Eclipse
97,AA,PH4,PHA,Philadelphia Athletics
98,AA,PT1,PIT,Pittsburg Alleghenys
99,AA,SL4,STL,St. Louis Brown Stockings
100,NL,BFN,BUF,Buffalo Bisons
101,NL,BSN,ATL,Boston Red Caps
102,NL,CHN,CHC,Chicago White Stockings
103,NL,CL2,CBL,Cleveland Blues
104,NL,DTN,DTN,Detroit Wolverines
105,NL,PRO,PRO,Providence Grays
106,NL,TRN,TRT,Troy Trojans
107,NL,WOR,WOR,Worcester Ruby Legs
